name,email,phone,website,city,source,category,created_at
Cafe De Italiano,,,,Ahmedabad,google_maps_browser,,2026-02-14T08:11:11.901798
"Cafe Baba Budan, Bodakdev Ahmedabad | Where Every Sip Tells a Story",,"
087990 46413",http://www.bababudancafe.in,Ahmedabad,google_maps_browser,,2026-02-14T08:11:07.285391
Cafe Everbean,,,,Ahmedabad,google_maps_browser,,2026-02-14T08:11:05.220982
"Nothing Before Coffee - Sindhu Bhavan , Ahmedabad",,"
092278 59571",https://www.eulogiahotels.com/grandeulogia/hangout.html,Ahmedabad,google_maps_browser,,2026-02-14T08:10:59.876120
Cafe Affogato,,"
092278 59571",https://www.eulogiahotels.com/grandeulogia/hangout.html,Ahmedabad,google_maps_browser,,2026-02-14T08:10:58.648352
HANGOUT CAFE 24X7,,"
092278 59571",https://www.eulogiahotels.com/grandeulogia/hangout.html,Ahmedabad,google_maps_browser,,2026-02-14T08:10:57.274967
Caffix- The Tech Cafe,,"
082000 19173",http://www.caffix.in,Ahmedabad,google_maps_browser,,2026-02-14T08:10:55.614014
KLIQ Coffee Co.,,"
083206 12851",http://www.crushcoffee.in,Ahmedabad,google_maps_browser,,2026-02-14T08:10:53.886414
Crush Coffee,,"
083206 12851",http://www.crushcoffee.in,Ahmedabad,google_maps_browser,,2026-02-14T08:10:52.546391
Z27 Coffee Bar - Ahmedabad,,"
098797 77414",http://www.teapost.in,Ahmedabad,google_maps_browser,,2026-02-14T08:10:50.935585
Tea Post - The Desi Cafe,,"
098797 77414",http://www.teapost.in,Ahmedabad,google_maps_browser,,2026-02-14T08:10:49.851878
Grace Coffee Co. SBR Outlet,,"
096878 78689",,Ahmedabad,google_maps_browser,,2026-02-14T08:10:48.577986
Tero Restro&Cafe,,"
090900 99499",,Ahmedabad,google_maps_browser,,2026-02-14T08:10:45.065246
"Shades Of Blackk Spalon - Salon for Hair, Beauty & Bridal Service",,"
089808 82088",http://www.vellorasalon.com,India,google_maps_browser,,2026-02-06T07:46:01.957890
Vellora hair & beauty lounge,,"
089808 82088",http://www.vellorasalon.com,India,google_maps_browser,,2026-02-06T07:46:00.322892
July Salon By MK Professional,,"
090237 44674",https://julysalonbymkprofessionals.in,India,google_maps_browser,,2026-02-06T07:45:57.943786
MD Unisex Salon,,"
090237 44674",,India,google_maps_browser,,2026-02-06T07:45:55.543566
HAIR RAP BY YOYO,,,http://www.hairrapbyyoyo.com,India,google_maps_browser,,2026-02-06T07:45:52.338880
Edge - The Lounge Salon (Unisex),,"
076008 18768",https://m.facebook.com/EDGE-the-lounge-SALON-SBR-1207784502655976,India,google_maps_browser,,2026-02-06T07:45:50.291940
Aries Unisex Salon,,"
098250 99242",https://linktr.ee/aries_unisex,India,google_maps_browser,,2026-02-06T07:45:48.898762
Retro Salon - Hair Skin Makeup,,"
070460 01703",http://www.retrosalon.in,India,google_maps_browser,,2026-02-06T07:45:47.756292
Jawed Habib Hair & Beauty - Sindhu Bhavan Road,,"
099786 06050",https://jawedhabibsindhubhavan.wlkn.in,India,google_maps_browser,,2026-02-06T07:45:45.663118
CS creative salon,,"
072840 30333",,India,google_maps_browser,,2026-02-06T07:45:44.256370
Blades & Scissors salon | Luxury Salon | Ahmedabad,,"
088665 57131",https://trakky.in/ahmedabad/sindhubhavan/salons/blades-and-scissors-sbr,India,google_maps_browser,,2026-02-06T07:45:41.060368
"Twisha's Beauty Salon : Best hair Stylist, Top Beauty Salon, Best Bridal Makeup Artist in Ahemdabad",,"
090166 70299",,India,google_maps_browser,,2026-02-06T07:45:39.568863
LS Salon Academy Best Hair Academy In Gujarat.,,"
098240 87868",https://lssalonacademy.com,India,google_maps_browser,,2026-02-06T07:45:36.380162
Zion Salons,,"
076000 77990",https://zionsalons.com,India,google_maps_browser,,2026-02-06T07:45:35.153341
"The Forest Salon, Ahmedabad",,"
099982 47273",https://www.instagram.com/forestsalonahmedabad,India,google_maps_browser,,2026-02-06T07:45:33.760605
S Mira Unisex Salon,,"
097376 70202",https://www.smiraunisexsalon.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=14384732290541978217,India,google_maps_browser,,2026-02-06T07:45:32.754634
The Cuts & Color Co.,,"
073783 87838",https://www.instagram.com/thecutsandcolorco/#,India,google_maps_browser,,2026-02-06T07:45:31.623905
HD Unisex Salon,,"
083474 44411",https://www.instagram.com/hd_unisex_salon,India,google_maps_browser,,2026-02-06T07:45:30.513091
July Salon By MK Professional,,"
088665 40361",https://julysalonbymkprofessionals.in,Gujarat,google_maps_browser,,2026-02-06T07:45:20.958045
CS creative salon,,"
072840 30333",,Gujarat,google_maps_browser,,2026-02-06T07:45:19.510354
Edge - The Lounge Salon (Unisex),,"
076008 18768",https://m.facebook.com/EDGE-the-lounge-SALON-SBR-1207784502655976,Gujarat,google_maps_browser,,2026-02-06T07:45:16.308602
The Cuts & Color Co.,,"
073783 87838",https://www.instagram.com/thecutsandcolorco/#,Gujarat,google_maps_browser,,2026-02-06T07:45:14.753880
JD studio,,"
099040 51177",,Gujarat,google_maps_browser,,2026-02-06T07:45:12.505302
Shades Salon,,"
070169 95024",http://www.shadessalonbodakdev.com,Gujarat,google_maps_browser,,2026-02-06T07:45:09.084120
"Shades Of Blackk Spalon - Salon for Hair, Beauty & Bridal Service",,"
087340 99657",https://shadesofblackk.com,Gujarat,google_maps_browser,,2026-02-06T07:45:07.728848
O10 Professional Salon,,"
087340 99657",,Gujarat,google_maps_browser,,2026-02-06T07:45:05.283800
GLAMOURS FAMILY SALON,,"
087802 47026",,Gujarat,google_maps_browser,,2026-02-06T07:45:02.032431
Vellora hair & beauty lounge,,"
089808 82088",http://www.vellorasalon.com,Gujarat,google_maps_browser,,2026-02-06T07:44:58.603052
Blades & Scissors salon | Luxury Salon | Ahmedabad,,"
088665 57131",https://trakky.in/ahmedabad/sindhubhavan/salons/blades-and-scissors-sbr,Gujarat,google_maps_browser,,2026-02-06T07:44:56.298471
HD Unisex Salon,,"
083474 44411",https://www.instagram.com/hd_unisex_salon,Gujarat,google_maps_browser,,2026-02-06T07:44:55.082618
R3 salon (Only Man),,"
098240 87868",https://lssalonacademy.com,Gujarat,google_maps_browser,,2026-02-06T07:44:53.932723
LS Salon Academy Best Hair Academy In Gujarat.,,"
098240 87868",https://lssalonacademy.com,Gujarat,google_maps_browser,,2026-02-06T07:44:52.420400
K3 Salon (Sindhu Bhavan) - Premium Family Salon,,"
081284 50014",https://k3salon.in,Gujarat,google_maps_browser,,2026-02-06T07:44:51.216254
"The Forest Salon, Ahmedabad",,"
099982 47273",https://www.instagram.com/forestsalonahmedabad,Gujarat,google_maps_browser,,2026-02-06T07:44:46.614097
